protein,renan_analysis/W_2_BETA_12_D_8_mu_0.0,renan_analysis/W_2_BETA_3_D_8_mu_5e-05
SOX1,0.0,0.02
SOX10,0.74,0.3
SOX12,0.1,0.06
SOX13,0.14,0.14
SOX15,0.04,0.02
SOX18,0.1,0.16
SOX2,1.0,0.0
SOX3,0.02,0.02
SOX30,0.38,0.24
SOX4,0.24,0.08
SOX5,0.46,0.32
SOX6,0.56,0.26
SOX7,0.1,0.14
SOX8,0.44,0.12
SOX9,0.7,0.3
SP1,1.0,0.02
SP100,0.98,0.66
SP110,0.34,0.14
SP140,0.04,0.0
SP140L,0.36,0.0
SP2,0.26,0.26
SP3,0.94,0.52
SP4,0.2,0.18
SP5,0.04,0.0
SP7,0.04,0.0
SP8,0.04,0.0
SPA17,0.08,0.0
SPACA3,0.08,0.02
SPAG1,0.18,0.08
SPAG11B,0.04,0.0
SPAG16,0.06,0.0
SPAG4,0.08,0.02
SPAG5,0.38,0.32
SPAG6,0.04,0.0
SPAG7,0.22,0.04
SPAG8,0.36,0.24
SPAG9,0.78,0.42
SPANXF1,0.02,0.0
SPANXN3,0.02,0.0
SPANXN4,0.08,0.0
SPARC,0.6,0.44
SPARCL1,0.26,0.06
SPAST,0.28,0.1
SPATA13,0.02,0.0
SPATA2,0.52,0.32
SPATA20,0.14,0.14
SPATA21,0.06,0.0
SPATA22,0.12,0.04
SPATA24,0.36,0.16
SPATA2L,0.12,0.0
SPATA31A7,0.08,0.02
SPATA31D1,0.06,0.0
SPATA4,0.1,0.0
SPATA5,0.34,0.04
SPATA5L1,0.38,0.0
SPATA7,0.04,0.0
SPATA8,0.02,0.02
SPATC1,0.16,0.16
SPATC1L,0.1,0.02
SPATS1,0.14,0.06
SPATS2,0.14,0.0
SPATS2L,0.2,0.0
SPC18,0.02,0.04
SPC24,1.0,1.0
SPC25,0.68,0.48
SPCS1,0.32,0.0
SPCS2,0.62,0.26
SPCS3,0.36,0.0
SPDEF,0.22,0.08
SPDL1,0.4,0.3
SPDYA,0.5,0.1
SPECC1,0.32,0.04
SPECC1L,0.54,0.08
SPEF1,0.26,0.22
SPEF2,0.1,0.0
SPEG,0.1,0.06
SPEN,0.84,0.54
SPERT,0.22,0.16
SPESP1,0.02,0.0
SPG11,0.36,0.0
SPG20,0.92,0.64
SPG21,0.62,0.34
SPG7,0.68,0.5
SPHK1,0.44,0.22
SPHK2,0.16,0.08
SPHKAP,0.08,0.04
SPI1,0.96,0.86
SPIB,0.42,0.3
SPIC,0.1,0.0
SPICE1,0.22,0.06
SPIN1,0.44,0.16
SPIN2A,0.32,0.0
SPIN2B,0.14,0.0
SPIN3,0.04,0.02
SPIN4,0.18,0.0
SPINK1,0.02,0.0
SPINK13,0.02,0.0
SPINK5,0.02,0.0
SPINK6,0.04,0.0
SPINK7,0.48,0.38
SPINT1,0.28,0.16
SPINT2,0.24,0.04
SPINT3,0.0,0.1
SPIRE1,0.1,0.08
SPN,0.54,0.42
SPNS1,0.26,0.24
SPO11,0.04,0.0
SPOCD1,0.12,0.0
SPOCK1,0.08,0.04
SPOCK2,0.04,0.04
SPOCK3,0.08,0.1
SPON1,0.08,0.08
SPOP,0.98,0.88
SPP1,0.94,0.54
SPPL2A,0.16,0.16
SPPL3,0.06,0.0
SPR,0.48,0.2
SPRED1,0.66,0.24
SPRED2,0.22,0.1
SPRED3,0.06,0.0
SPRN,0.02,0.0
SPRR1A,0.0,0.02
SPRR1B,0.08,0.0
SPRR2A,0.42,0.22
SPRR2D,0.12,0.1
SPRR2G,0.04,0.0
SPRR3,0.02,0.02
SPRR4,0.06,0.0
SPRTN,0.96,0.34
SPRY1,0.76,0.54
SPRY2,1.0,0.72
SPRY3,0.0,0.02
SPRY4,0.28,0.18
SPRYD3,0.3,0.02
SPRYD4,0.02,0.0
SPRYD7,0.4,0.0
SPSB1,0.9,0.4
SPSB2,0.7,0.18
SPSB3,0.26,0.06
SPSB4,0.32,0.26
SPTA1,0.56,0.44
SPTAN1,1.0,0.1
SPTB,0.54,0.4
SPTBN1,0.98,0.26
SPTBN2,0.56,0.22
SPTBN4,0.54,0.14
SPTLC1,0.6,0.06
SPTLC2,0.34,0.04
SPTSSA,0.14,0.04
SPTY2D1,0.14,0.0
SPZ1,0.14,0.06
SQLE,0.38,0.1
SQRDL,0.3,0.08
SQSTM1,1.0,0.2
SRA1,0.7,0.56
SRBD1,0.14,0.08
SRC,1.0,0.0
SRCAP,0.64,0.4
SRCIN1,0.34,0.32
SRD5A3,0.06,0.0
SREBF1,1.0,0.7
SREBF2,0.98,0.52
SREK1,0.94,0.36
SRF,1.0,1.0
SRFBP1,0.14,0.08
SRGAP1,0.22,0.04
SRGAP2,0.62,0.34
SRGAP2C,0.06,0.0
SRGAP3,1.0,1.0
SRGN,0.5,0.56
SRI,0.82,0.5
SRM,0.48,0.02
SRMS,0.2,0.2
SRP14,1.0,1.0
SRP19,0.44,0.28
SRP54,0.7,0.24
SRP68,0.54,0.14
SRP72,0.78,0.12
SRP9,0.9,0.58
SRPK1,1.0,0.06
SRPK2,1.0,0.12
SRPK3,0.18,0.1
SRPR,0.36,0.02
SRPRB,0.94,0.34
SRPX,0.1,0.0
SRPX2,0.04,0.02
SRR,0.24,0.04
SRRM1,1.0,0.12
SRRM2,1.0,0.0
SRRM4,0.06,0.0
SRRT,1.0,1.0
SRSF1,1.0,0.1
SRSF10,0.9,0.2
SRSF11,0.9,0.2
SRSF12,0.18,0.08
SRSF2,1.0,1.0
SRSF3,1.0,0.16
SRSF4,0.92,0.54
SRSF5,0.96,0.16
SRSF6,1.0,1.0
SRSF7,0.94,0.14
SRSF8,0.34,0.02
SRSF9,0.9,0.38
SRXN1,0.74,0.28
SRY,0.3,0.16
SS18,1.0,1.0
SS18L1,0.74,0.32
SS18L2,0.04,0.0
SSB,1.0,1.0
SSBP1,0.98,0.16
SSBP2,0.58,0.26
SSBP3,0.28,0.24
SSBP4,0.2,0.06
SSFA2,0.42,0.12
SSH1,0.5,0.32
SSH2,0.12,0.02
SSH3,0.08,0.0
SSMEM1,0.02,0.02
SSNA1,0.2,0.02
SSPN,0.04,0.0
SSPO,0.0,0.04
SSR1,0.82,0.4
SSR2,0.36,0.02
SSR3,0.62,0.24
SSR4,0.88,0.34
SSRP1,1.0,0.18
SSSCA1,1.0,0.2
SST,0.04,0.02
SSTR1,0.22,0.02
SSTR2,0.42,0.22
SSTR3,0.42,0.2
SSTR4,0.06,0.0
SSTR5,0.16,0.06
SSU72,0.68,0.48
SSX1,0.02,0.02
SSX2B,0.52,0.46
SSX2IP,0.62,0.3
SSX3,0.2,0.18
SSX4B,0.12,0.08
SSX5,0.16,0.06
ST13,0.98,0.6
ST13P4,0.04,0.0
ST14,0.4,0.18
ST18,0.02,0.0
ST20-MTHFS,0.08,0.08
ST3GAL1,0.06,0.0
ST3GAL2,0.06,0.08
ST3GAL3,0.2,0.08
ST3GAL4,0.16,0.0
ST3GAL6,0.04,0.0
ST5,0.28,0.0
ST6GAL1,0.02,0.0
ST6GALNAC1,0.04,0.0
ST6GALNAC2,0.06,0.0
ST6GALNAC4,0.08,0.0
ST6GALNAC5,0.02,0.0
ST6GALNAC6,0.06,0.06
ST7,0.4,0.14
ST7L,0.14,0.0
ST8SIA2,0.02,0.0
ST8SIA6,0.04,0.0
STAB1,0.24,0.14
STAB2,0.34,0.06
STAC,0.38,0.26
STAC2,0.12,0.1
STAC3,0.22,0.08
STAG1,0.88,0.78
STAG2,0.92,0.84
STAG3,0.08,0.16
STAG3L3,0.0,0.02
STAM,1.0,0.68
STAM2,0.96,0.78
STAMBP,1.0,0.98
STAMBPL1,0.54,0.32
STAP1,0.3,0.2
STAP2,0.66,0.52
STAR,0.18,0.16
STARD10,0.2,0.06
STARD13,0.76,0.36
STARD3,0.04,0.02
STARD3NL,0.2,0.04
STARD4,0.22,0.0
STARD7,0.04,0.02
STARD9,0.22,0.1
STAT1,1.0,0.12
STAT2,0.96,0.78
STAT3,1.0,0.06
STAT4,0.28,0.28
STAT5A,1.0,0.66
STAT5B,1.0,0.38
STAT6,1.0,0.68
STATH,0.02,0.0
STAU1,0.98,0.26
STAU2,0.28,0.08
STBD1,0.52,0.32
STC2,0.8,0.5
STEAP1,0.1,0.0
STEAP2,0.32,0.0
STEAP3,0.54,0.28
STEAP4,0.22,0.08
STIL,0.44,0.1
STIM1,0.6,0.56
STIM2,0.24,0.1
STIP1,0.96,0.0
STK10,0.1,0.02
STK11,0.98,0.76
STK11IP,0.32,0.16
STK16,0.74,0.56
STK17A,0.06,0.0
STK17B,0.22,0.0
STK19,0.38,0.2
STK24,1.0,0.0
STK25,1.0,0.02
STK3,1.0,0.26
STK31,0.04,0.0
STK32B,0.02,0.0
STK32C,0.06,0.04
STK33,0.42,0.08
STK35,0.24,0.16
STK36,0.64,0.4
STK38,0.84,0.52
STK38L,0.48,0.26
STK39,0.62,0.36
STK4,1.0,0.04
STK40,0.28,0.18
STMN1,0.76,0.28
STMN2,0.74,0.54
STMN3,0.22,0.22
STMN4,0.14,0.04
STOM,0.66,0.48
STOML1,0.26,0.18
STOML2,0.72,0.22
STON1-GTF2A1L,0.04,0.0
STON2,0.82,0.52
STOX1,0.14,0.0
STOX2,0.08,0.0
STRA13,0.4,0.24
STRA6,0.04,0.08
STRADA,0.58,0.5
STRADB,0.4,0.32
STRAP,0.96,0.32
STRBP,0.4,0.16
STRIP1,0.9,0.38
STRIP2,0.54,0.32
STRN,0.96,0.46
STRN3,0.9,0.52
STRN4,0.98,0.5
STS,0.04,0.0
STT3A,0.64,0.36
STT3B,0.64,0.26
STUB1,1.0,0.08
STX10,0.02,0.02
STX11,0.8,0.62
STX12,0.62,0.3
STX16,0.22,0.08
STX17,0.12,0.04
STX18,0.28,0.14
STX19,0.14,0.08
STX1A,1.0,0.78
STX1B,0.22,0.2
STX2,0.56,0.36
STX3,0.68,0.58
STX4,0.96,0.86
STX5,0.88,0.5
STX6,0.72,0.34
STX7,0.84,0.52
STX8,0.78,0.42
STXBP1,0.74,0.44
STXBP2,0.38,0.08
STXBP3,0.46,0.3
STXBP4,0.14,0.06
STXBP5,0.22,0.16
STXBP5L,0.02,0.04
STXBP6,0.06,0.02
STYK1,0.14,0.0
STYXL1,0.46,0.28
SUB1,1.0,1.0
SUCLA2,0.56,0.22
SUCLG1,0.64,0.14
SUCLG2,0.6,0.12
SUCO,0.04,0.08
SUDS3,0.66,0.44
SUFU,0.68,0.68
SUGP1,0.8,0.38
SUGP2,0.36,0.12
SUGT1,0.98,0.58
SULF1,0.12,0.0
SULF2,0.08,0.0
SULT1A1,0.66,0.24
SULT1A2,0.08,0.0
SULT1A4,0.24,0.08
SULT1B1,0.02,0.02
SULT1C2,0.36,0.12
SULT1E1,0.72,0.52
SULT2A1,0.22,0.1
SULT2B1,0.16,0.08
SULT4A1,0.12,0.0
SUMF2,0.2,0.06
SUMO1,1.0,0.0
SUMO2,1.0,0.0
SUMO3,1.0,0.14
SUMO4,1.0,0.22
SUN1,0.4,0.06
SUN2,0.7,0.34
SUN5,0.12,0.0
SUOX,0.08,0.0
SUPT16H,0.98,0.02
SUPT20H,0.56,0.2
SUPT20HL1,0.08,0.0
SUPT20HL2,0.04,0.0
SUPT3H,0.96,0.62
SUPT4H1,0.66,0.24
SUPT5H,1.0,0.06
SUPT6H,0.74,0.26
SUPT7L,0.78,0.62
SUPV3L1,0.16,0.0
SURF1,0.34,0.18
SURF2,0.54,0.44
SURF4,1.0,1.0
SURF6,0.18,0.0
SUSD1,0.14,0.0
SUSD2,0.1,0.14
SUSD3,0.04,0.0
SUSD4,0.02,0.0
SUV39H1,1.0,0.62
SUV39H2,0.8,0.5
SUV420H1,0.12,0.04
SUV420H2,0.5,0.28
SUZ12,0.96,0.84
SV2A,0.24,0.16
SV2B,0.02,0.02
SV2C,0.02,0.0
SVEP1,0.16,0.12
SVIL,0.9,0.22
SVIP,0.42,0.16
SVOP,0.0,0.12
SVOPL,0.06,0.0
SWAP70,0.56,0.4
SWI5,0.12,0.04
SWSAP1,0.4,0.28
SYAP1,0.34,0.08
SYBU,0.2,0.02
SYCP1,0.2,0.0
SYCP2L,0.04,0.0
SYCP3,0.18,0.22
SYDE1,0.08,0.0
SYDE2,0.06,0.0
SYF2,0.24,0.08
SYK,1.0,0.34
SYMPK,0.62,0.3
SYN1,0.7,0.34
SYN2,0.18,0.2
SYN3,0.06,0.04
SYNC,0.06,0.04
SYNCRIP,1.0,0.1
SYNDIG1,0.1,0.08
SYNE1,0.74,0.26
SYNE2,0.82,0.26
SYNE4,0.24,0.06
SYNGAP1,0.34,0.18
SYNGR1,0.3,0.02
SYNGR2,0.22,0.0
SYNGR3,0.14,0.02
SYNJ1,0.76,0.56
SYNJ2,0.76,0.5
SYNJ2BP,0.76,0.54
SYNJ2BP-COX16,0.16,0.0
SYNM,0.54,0.48
SYNPO,0.42,0.14
SYNPO2,0.5,0.14
SYNPO2L,0.02,0.02
SYNPR,0.0,0.02
SYNRG,0.6,0.38
SYP,0.36,0.34
SYPL1,0.04,0.0
SYPL2,0.06,0.0
SYS1,0.04,0.02
SYT,0.06,0.0
SYT-SSX1,0.02,0.0
SYT-SSX2,0.08,0.0
SYT1,0.84,0.7
SYT11,0.54,0.42
SYT12,0.04,0.0
SYT13,0.02,0.02
SYT17,0.42,0.24
SYT2,0.3,0.12
SYT3,0.08,0.08
SYT4,0.16,0.16
SYT5,0.1,0.04
SYT6,0.08,0.02
SYT7,0.12,0.04
SYT8,0.16,0.0
SYT9,0.36,0.04
SYTL1,0.32,0.42
SYTL2,0.48,0.3
SYTL3,0.22,0.22
SYTL4,0.78,0.8
SYTL5,0.36,0.26
SYVN1,1.0,0.88
SZRD1,0.3,0.18
SZT2,0.04,0.0
TAAR8,0.04,0.0
TAB1,1.0,0.34
TAB2,1.0,0.56
TAB3,0.9,0.62
TAC1,0.22,0.18
TAC3,0.4,0.24
TAC4,0.04,0.02
TACC1,0.76,0.72
TACC2,1.0,1.0
TACC3,0.76,0.36
TACO1,0.36,0.24
TACR1,0.14,0.06
TACR2,0.08,0.06
TACR3,0.04,0.08
TACSTD2,0.08,0.06
TADA1,0.42,0.16
TADA2A,0.98,0.04
TADA2B,0.24,0.12
TADA3,0.98,0.54
TAF1,1.0,0.76
TAF10,1.0,0.8
TAF11,0.86,0.7
TAF12,0.9,0.56
TAF13,0.76,0.78
TAF15,0.98,0.4
TAF1A,0.84,0.62
TAF1B,0.96,0.6
TAF1C,0.62,0.62
TAF1D,0.94,0.76
TAF1L,0.5,0.16
TAF2,0.7,0.46
TAF3,0.82,0.54
TAF4,0.94,0.86
TAF4B,0.24,0.14
TAF5,0.94,0.76
TAF5L,0.72,0.32
TAF6,1.0,0.4
TAF6L,0.62,0.38
TAF7,0.96,0.74
TAF7L,0.18,0.12
TAF8,0.84,0.68
TAF9,1.0,0.42
TAF9B,0.6,0.48
TAGLN,1.0,1.0
TAGLN2,0.82,0.1
TAGLN3,0.04,0.0
TAL1,1.0,0.8
TAL2,0.28,0.12
TALDO1,0.88,0.3
TANC1,0.06,0.06
TANC2,0.06,0.0
TANGO2,0.02,0.02
TANGO6,0.26,0.04
TANK,1.0,0.64
TAOK1,0.46,0.18
TAOK2,0.3,0.24
TAOK3,0.28,0.32
TAP1,0.84,0.82
TAP2,0.74,0.46
TAPBP,0.72,0.46
TAPT1,0.06,0.0
TARBP1,0.26,0.08
TARBP2,0.74,0.58
TARDBP,0.98,0.2
TARP,0.04,0.0
TARS,0.92,0.02
TARS2,0.28,0.04
TARSL2,0.14,0.04
TAS2R13,0.1,0.08
TASP1,0.02,0.02
TAT,0.16,0.12
TATDN1,0.62,0.36
TATDN2,0.08,0.0
TAX1BP1,0.96,0.62
TAX1BP3,0.48,0.24
TAZ,0.48,0.22
TBC1D1,0.36,0.22
TBC1D10A,0.74,0.22
TBC1D10B,0.36,0.22
TBC1D10C,0.14,0.02
TBC1D13,0.06,0.0
TBC1D14,0.24,0.2
TBC1D15,0.78,0.54
TBC1D16,0.14,0.12
TBC1D17,0.64,0.36
TBC1D19,0.18,0.0
TBC1D2,0.3,0.28
TBC1D20,0.1,0.0
TBC1D21,0.06,0.0
TBC1D22B,0.02,0.0
TBC1D23,0.24,0.08
TBC1D24,0.12,0.0
TBC1D25,0.5,0.24
TBC1D2B,0.48,0.44
TBC1D3,0.12,0.1
TBC1D31,0.28,0.0
TBC1D3C,0.02,0.02
TBC1D3F,0.04,0.04
TBC1D3G,0.02,0.0
TBC1D4,0.82,0.34
TBC1D5,1.0,1.0
TBC1D7,0.38,0.42
TBC1D8,0.16,0.02
TBC1D8B,0.02,0.0
TBC1D9,0.32,0.1
TBC1D9B,0.28,0.22
TBCA,1.0,1.0
TBCB,0.76,0.3
TBCC,0.06,0.0
TBCCD1,0.04,0.0
TBCD,0.92,0.36
TBCE,0.3,0.06
TBCEL,0.04,0.0
TBCK,0.02,0.0
TBK1,1.0,0.66
TBKBP1,0.6,0.48
TBL1X,0.9,0.86
TBL1XR1,0.92,0.36
TBL2,1.0,1.0
TBL3,0.68,0.04
TBP,1.0,0.9
TBPL1,0.82,0.6
TBPL2,0.3,0.16
TBR1,0.5,0.3
TBRG1,0.18,0.04
TBRG4,0.4,0.02
TBX1,0.04,0.02
TBX2,0.14,0.04
TBX20,0.06,0.0
TBX21,0.18,0.04
TBX22,0.08,0.0
TBX3,0.22,0.02
TBX4,0.06,0.04
TBX5,0.32,0.26
TBX6,0.04,0.0
TBXA2R,0.92,0.48
TBXAS1,0.08,0.0
TCAP,0.8,0.68
TCEA1,1.0,0.56
TCEA2,0.78,0.5
TCEA3,0.0,0.02
TCEAL1,0.6,0.2
TCEAL2,0.5,0.14
TCEAL3,0.1,0.0
TCEAL4,0.52,0.1
TCEAL5,0.28,0.18
TCEAL6,0.04,0.0
TCEAL7,0.04,0.0
TCEAL8,0.08,0.0
TCEANC,0.46,0.28
TCEANC2,0.04,0.0
TCEB1,1.0,0.66
TCEB2,1.0,0.72
TCEB3,0.78,0.54
TCEB3B,0.82,0.82
TCEB3C,0.08,0.14
TCERG1,0.98,0.36
TCERG1L,0.04,0.0
TCF12,0.74,0.3
TCF15,0.08,0.02
TCF19,0.16,0.18
TCF20,0.56,0.16
TCF21,0.42,0.38
TCF24,0.02,0.0
TCF25,0.62,0.44
TCF3,1.0,0.12
TCF4,1.0,0.66
TCF7,0.3,0.12
TCF7L1,0.12,0.02
TCF7L2,0.84,0.52
TCFL5,0.1,0.04
TCHHL1,0.02,0.0
TCHP,0.54,0.26
TCIRG1,0.38,0.04
TCL1A,0.68,0.32
TCL1B,0.26,0.0
TCL6e1,0.02,0.0
TCN1,0.08,0.06
TCN2,0.18,0.08
TCOF1,0.86,0.12
TCP1,1.0,0.0
TCP10,0.1,0.04
TCP10L,0.46,0.24
TCP11,0.24,0.02
TCP11L1,0.18,0.02
TCP11L2,0.06,0.0
TCTA,0.12,0.08
TCTEX1D2,0.38,0.1
TCTEX1D4,0.22,0.04
TCTN2,0.02,0.0
TCTN3,0.04,0.0
TDG,0.92,0.46
TDGF1,0.58,0.18
TDO2,0.28,0.08
TDP1,0.36,0.08
TDP2,0.92,0.66
TDRD1,0.18,0.0
TDRD3,0.36,0.26
TDRD6,0.1,0.0
TDRD7,0.46,0.26
TDRD9,0.1,0.0
TDRKH,0.04,0.0
TEAD1,0.66,0.54
TEAD2,0.52,0.2
TEAD3,0.48,0.24
TEAD4,0.44,0.24
TEC,0.9,0.66
TECPR1,0.46,0.52
TECPR2,0.3,0.38
TECR,0.66,0.08
TEF,0.2,0.12
TEFM,0.2,0.1
TEK,0.88,0.58
TEKT2,0.04,0.0
TEKT3,0.02,0.0
TEKT4,0.12,0.14
TELO2,0.86,0.56
TEN1,0.24,0.14
TENC1,0.54,0.38
TENM1,0.1,0.18
TENM2,0.1,0.0
TENM3,0.22,0.04
TENM4,1.0,0.0
TEP1,0.38,0.22
TERF1,1.0,0.0
TERF2,1.0,0.06
TERF2IP,1.0,0.28
TERT,1.0,0.76
TES,0.72,0.28
TESC,0.5,0.28
TESK1,0.44,0.38
TESK2,0.1,0.02
TESPA1,0.02,0.0
TET1,0.06,0.12
TET2,0.16,0.02
TET3,0.06,0.0
TEX10,0.58,0.12
TEX101,0.04,0.0
TEX11,0.86,0.66
TEX14,0.04,0.06
TEX15,0.04,0.0
TEX2,0.06,0.0
TEX264,0.06,0.0
TEX28,0.14,0.16
TEX30,0.02,0.0
TEX35,0.22,0.06
TEX36,0.1,0.0
TEX37,0.26,0.22
TEX9,0.16,0.04
TF,1.0,1.0
TFAM,0.6,0.06
TFAP2A,0.94,0.48
TFAP2B,0.48,0.24
TFAP2C,0.54,0.22
TFAP2D,0.08,0.0
TFAP2E,0.02,0.02
TFAP4,0.96,0.58
TFB1M,0.26,0.06
TFB2M,0.26,0.04
TFCP2,0.94,0.42
TFCP2L1,0.06,0.1
TFDP1,0.96,0.86
TFDP2,0.46,0.6
TFDP3,0.08,0.0
TFE3,0.92,0.44
TFEB,0.12,0.0
TFEC,0.18,0.04
TFF1,0.56,0.2
TFF2,0.02,0.06
TFF3,0.06,0.02
TFG,0.9,0.36
TFIP11,1.0,1.0
TFPI,0.32,0.18
TFPI2,0.1,0.16
TFPT,0.72,0.38
TFR2,0.26,0.04
TFRC,1.0,1.0
TG,0.36,0.08
TGDS,0.16,0.02
TGFA,0.58,0.38
TGFB1,0.98,0.68
TGFB1I1,0.9,0.46
TGFB2,0.68,0.48
TGFB3,0.74,0.56
TGFBI,1.0,1.0
TGFBR1,1.0,0.0
TGFBR2,1.0,0.7
TGFBR3,0.64,0.64
TGFBRAP1,0.36,0.18
TGIF1,0.76,0.54
TGIF2-C20orf24,0.08,0.14
TGIF2LY,0.08,0.0
TGM1,0.14,0.08
TGM2,1.0,0.18
TGM3,0.2,0.12
TGM5,0.02,0.0
TGOLN2,0.42,0.24
TGS1,0.9,0.48
TH,0.3,0.08
THADA,0.48,0.14
THAP1,0.72,0.54
THAP10,0.14,0.24
THAP11,0.68,0.48
THAP2,0.18,0.04
THAP3,0.22,0.12
THAP4,0.08,0.02
THAP5,0.08,0.04
THAP6,0.08,0.06
THAP7,0.82,0.58
THAP8,0.34,0.1
THBD,0.24,0.36
THBS1,0.98,0.68
THBS2,0.16,0.24
THBS3,0.04,0.0
THEG,0.3,0.2
THEM4,0.08,0.0
THEM6,0.22,0.0
THEMIS,0.04,0.04
THG1L,0.6,0.34
THNSL1,0.0,0.02
THNSL2,0.32,0.04
THOC1,0.86,0.68
THOC2,0.98,0.44
THOC3,0.8,0.5
THOC5,0.76,0.74
THOC6,0.82,0.5
THOC7,0.76,0.6
THOP1,1.0,1.0
THPO,0.16,0.04
THRA,1.0,0.86
THRAP3,0.96,0.26
THRB,1.0,0.78
THSD7A,0.2,0.04
THSD7B,0.02,0.0
THTPA,0.12,0.06
THUMPD1,0.34,0.04
THUMPD2,0.12,0.04
THUMPD3,0.36,0.24
THY1,1.0,1.0
THYN1,1.0,1.0
TIA1,0.44,0.1
TIAF1,0.28,0.3
TIAL1,0.7,0.2
TIAM1,0.9,0.6
TIAM2,0.16,0.2
TICAM1,0.9,0.72
TICRR,0.18,0.06
TIE1,0.4,0.24
TIFA,0.68,0.46
TIGD1,0.04,0.0
TIGD4,0.04,0.0
TIGD5,0.12,0.0
TIGD7,0.04,0.0
TIGIT,0.1,0.18
TIMELESS,0.46,0.32
TIMM10,0.4,0.24
TIMM10B,0.04,0.02
TIMM13,1.0,1.0
TIMM17A,0.38,0.08
TIMM17B,0.38,0.06
TIMM21,0.2,0.0
TIMM22,0.02,0.0
TIMM23,0.52,0.1
TIMM23B,0.32,0.02
TIMM44,0.66,0.36
TIMM50,0.98,0.12
TIMM8A,0.52,0.28
TIMM8B,0.5,0.08
TIMM9,0.6,0.3
TIMMDC1,0.2,0.04
TIMP1,0.86,0.78
TIMP2,0.86,0.72
TIMP3,0.52,0.38
TIMP4,0.36,0.24
TINAG,0.04,0.0
TINAGL1,0.4,0.24
TINF2,0.98,0.46
TIPARP,0.12,0.02
TIPIN,0.36,0.16
TIPRL,0.76,0.34
TIRAP,0.98,0.8
TJAP1,0.16,0.12
TJP1,0.98,0.72
TJP2,0.9,0.54
TJP3,0.22,0.08
TK1,1.0,0.38
TK2,0.02,0.0
TKT,0.76,0.24
TKTL2,0.08,0.0
TLCD1,0.04,0.0
TLDC1,0.2,0.14
TLE1,1.0,0.76
TLE2,0.46,0.18
TLE3,0.62,0.12
TLE4,0.58,0.24
TLE6,0.04,0.0
TLK1,0.6,0.6
TLK2,0.74,0.52
TLL1,0.12,0.0
TLN1,0.88,0.0
TLN2,0.48,0.16
TLR1,0.1,0.2
TLR10,0.06,0.14
TLR2,0.6,0.48
TLR3,0.7,0.22
TLR4,0.9,0.84
TLR5,0.18,0.2
TLR6,0.06,0.08
TLR7,0.02,0.04
TLR8,0.14,0.04
TLR9,0.6,0.48
TLX1,0.58,0.3
TLX2,0.28,0.14
TLX3,0.6,0.24
TM2D1,0.12,0.0
TM2D2,0.14,0.0
TM4SF1,0.24,0.12
TM4SF19,0.04,0.04
TM4SF2,0.02,0.02
TM4SF20,0.04,0.02
TM4SF4,0.04,0.02
TM7SF2,0.04,0.0
TM7SF3,0.42,0.0
TM9SF1,0.12,0.04
TM9SF2,0.28,0.14
TM9SF3,1.0,1.0
TM9SF4,0.28,0.06
TMA16,0.36,0.04
TMA7,0.12,0.0
TMBIM1,0.14,0.06
TMBIM4,0.58,0.58
TMBIM6,0.5,0.36
TMC1,0.1,0.0
TMC5,0.0,0.02
TMC6,0.06,0.0
TMC7,0.04,0.0
TMCC1,0.02,0.0
TMCC2,0.3,0.22
TMCC3,0.04,0.0
TMCO1,0.6,0.16
TMCO3,0.08,0.0
TMCO6,0.06,0.08
TMED1,0.22,0.04
TMED10,0.78,0.4
TMED2,0.88,0.4
TMED3,0.18,0.12
TMED4,0.48,0.04
TMED5,0.32,0.06
TMED7-TICAM2,0.62,0.64
TMED8,0.02,0.0
TMED9,0.86,0.32
TMEM101,0.02,0.06
TMEM102,0.22,0.04
TMEM104,0.28,0.04
TMEM106A,0.04,0.02
TMEM106B,0.4,0.0
TMEM107,0.0,0.04
TMEM108,0.26,0.1
TMEM109,0.26,0.0
TMEM11,0.68,0.36
TMEM115,0.02,0.04
TMEM120A,0.22,0.0
TMEM123,0.04,0.0
TMEM126A,0.26,0.16
TMEM126B,0.18,0.02
TMEM127,0.12,0.0
TMEM128,0.02,0.02
TMEM131,0.2,0.0
TMEM132A,0.28,0.08
TMEM132C,0.02,0.0
TMEM132D,0.06,0.0
TMEM134,0.08,0.04
TMEM135,0.1,0.02
TMEM139,0.1,0.06
TMEM140,0.04,0.0
TMEM141,0.06,0.0
TMEM147,0.34,0.18
TMEM14A,0.18,0.04
TMEM14B,0.22,0.1
TMEM14C,0.18,0.14
TMEM150C,0.04,0.0
TMEM159,0.1,0.0
TMEM160,0.24,0.08
TMEM161A,0.36,0.12
TMEM165,1.0,1.0
TMEM167A,0.02,0.0
TMEM167B,0.02,0.0
TMEM168,0.04,0.06
TMEM169,0.06,0.0
TMEM170A,0.14,0.0
TMEM171,0.04,0.0
TMEM173,0.98,0.96
TMEM174,0.04,0.0
TMEM175,0.08,0.0
TMEM176A,0.18,0.16
TMEM177,0.46,0.24
TMEM179B,0.14,0.04
TMEM18,0.14,0.0
TMEM180,0.1,0.0
TMEM183A,0.14,0.0
TMEM183B,0.14,0.0
TMEM184A,0.06,0.02
TMEM184B,0.02,0.0
TMEM184C,0.06,0.0
TMEM185B,0.04,0.0
TMEM186,0.02,0.0
TMEM189,0.52,0.18
TMEM189-UBE2V1,0.26,0.0
TMEM19,0.08,0.02
TMEM192,0.34,0.06
